2025-03-10 20:02:16,431 - Logging initialized (crawler)
2025-03-10 20:02:16,459 - Start crawling Gossiping pages from index 38949 to index 38700
2025-03-10 20:06:02,918 - Processing page 38869, progress: 81/250 (32.4%)
2025-03-10 20:06:05,801 - Processing page 38868, progress: 82/250 (32.8%)
2025-03-10 20:06:08,351 - Processing page 38867, progress: 83/250 (33.2%)
2025-03-10 20:06:11,356 - Processing page 38866, progress: 84/250 (33.6%)
2025-03-10 20:06:14,044 - Processing page 38865, progress: 85/250 (34.0%)
2025-03-10 20:06:16,572 - Processing page 38864, progress: 86/250 (34.4%)
2025-03-10 20:06:19,145 - Processing page 38863, progress: 87/250 (34.8%)
2025-03-10 20:06:22,068 - Processing page 38862, progress: 88/250 (35.2%)
2025-03-10 20:06:24,832 - Processing page 38861, progress: 89/250 (35.6%)
2025-03-10 20:06:28,350 - Processing page 38860, progress: 90/250 (36.0%)
2025-03-10 20:06:31,240 - Processing page 38859, progress: 91/250 (36.4%)
2025-03-10 20:06:34,197 - Processing page 38858, progress: 92/250 (36.8%)
2025-03-10 20:06:36,774 - Processing page 38857, progress: 93/250 (37.2%)
2025-03-10 20:06:39,467 - Processing page 38856, progress: 94/250 (37.6%)
2025-03-10 20:06:42,456 - Processing page 38855, progress: 95/250 (38.0%)
2025-03-10 20:06:44,964 - Processing page 38854, progress: 96/250 (38.4%)
2025-03-10 20:06:48,035 - Processing page 38853, progress: 97/250 (38.8%)
2025-03-10 20:06:50,604 - Processing page 38852, progress: 98/250 (39.2%)
2025-03-10 20:06:53,592 - Processing page 38851, progress: 99/250 (39.6%)
2025-03-10 20:06:56,051 - Processing page 38850, progress: 100/250 (40.0%)
2025-03-10 20:06:59,411 - Processing page 38849, progress: 101/250 (40.4%)
2025-03-10 20:07:02,215 - Processing page 38848, progress: 102/250 (40.8%)
2025-03-10 20:07:04,780 - Processing page 38847, progress: 103/250 (41.2%)
2025-03-10 20:07:07,722 - Processing page 38846, progress: 104/250 (41.6%)
2025-03-10 20:07:10,269 - Processing page 38845, progress: 105/250 (42.0%)
2025-03-10 20:07:13,068 - Processing page 38844, progress: 106/250 (42.4%)
2025-03-10 20:07:16,189 - Processing page 38843, progress: 107/250 (42.8%)
2025-03-10 20:07:19,034 - Processing page 38842, progress: 108/250 (43.2%)
2025-03-10 20:07:21,531 - Processing page 38841, progress: 109/250 (43.6%)
2025-03-10 20:07:24,028 - Processing page 38840, progress: 110/250 (44.0%)
2025-03-10 20:07:27,086 - Processing page 38839, progress: 111/250 (44.4%)
2025-03-10 20:07:29,664 - Processing page 38838, progress: 112/250 (44.8%)
2025-03-10 20:07:32,613 - Processing page 38837, progress: 113/250 (45.2%)
2025-03-10 20:07:35,253 - Processing page 38836, progress: 114/250 (45.6%)
2025-03-10 20:07:37,689 - Processing page 38835, progress: 115/250 (46.0%)
2025-03-10 20:07:40,703 - Processing page 38834, progress: 116/250 (46.4%)
2025-03-10 20:07:43,715 - Processing page 38833, progress: 117/250 (46.8%)
2025-03-10 20:07:46,739 - Processing page 38832, progress: 118/250 (47.2%)
2025-03-10 20:07:49,589 - Processing page 38831, progress: 119/250 (47.6%)
2025-03-10 20:07:52,752 - Processing page 38830, progress: 120/250 (48.0%)
2025-03-10 20:07:55,728 - Processing page 38829, progress: 121/250 (48.4%)
2025-03-10 20:07:58,715 - Processing page 38828, progress: 122/250 (48.8%)
2025-03-10 20:08:01,454 - Processing page 38827, progress: 123/250 (49.2%)
2025-03-10 20:08:04,183 - Processing page 38826, progress: 124/250 (49.6%)
2025-03-10 20:08:07,705 - Processing page 38825, progress: 125/250 (50.0%)
2025-03-10 20:08:10,172 - Processing page 38824, progress: 126/250 (50.4%)
2025-03-10 20:08:12,511 - Processing page 38823, progress: 127/250 (50.8%)
2025-03-10 20:08:15,495 - Processing page 38822, progress: 128/250 (51.2%)
2025-03-10 20:08:18,601 - Processing page 38821, progress: 129/250 (51.6%)
2025-03-10 20:08:21,231 - Processing page 38820, progress: 130/250 (52.0%)
2025-03-10 20:08:23,883 - Processing page 38819, progress: 131/250 (52.4%)
2025-03-10 20:08:26,319 - Processing page 38818, progress: 132/250 (52.8%)
2025-03-10 20:08:29,056 - Processing page 38817, progress: 133/250 (53.2%)
2025-03-10 20:08:31,776 - Processing page 38816, progress: 134/250 (53.6%)
2025-03-10 20:08:34,756 - Processing page 38815, progress: 135/250 (54.0%)
2025-03-10 20:08:37,843 - Processing page 38814, progress: 136/250 (54.4%)
2025-03-10 20:08:40,462 - Processing page 38813, progress: 137/250 (54.8%)
2025-03-10 20:08:43,300 - Processing page 38812, progress: 138/250 (55.2%)
2025-03-10 20:08:46,097 - Processing page 38811, progress: 139/250 (55.6%)
